date,OT,LogRet,LogRet3,LogRet5,LogRet7,SMA3,SMA5,SMA7,EMA3,EMA5,EMA7,MACD,MACD_Signal,RSI,ETS,SARIMA
2023-02-10 00:00:00,0.011670619082899118,0.002330901898274666,0.0032421231945323832,-0.0025014104919991193,-0.0013789479836400073,-0.005790352456265621,-0.0021014616523930534,-0.0009630555535955408,-0.0017574229736569398,-0.001591389507150773,-0.000986745535140992,-0.001954146700682142,-0.0013600076679470996,52.633672396552384,0.0007246167925532951,-0.012140200515795271
2023-02-13 00:00:00,-0.00046018865353481106,0.011670619082899118,-0.013864431505416247,-0.02026494250497327,0.005305355502908247,0.0017648051555082748,0.0014586448563665636,-0.0013603945068411682,0.004956598054621089,0.002829280022865857,0.0021775956193690353,-0.0008998771891523499,-0.0012679815721881498,60.79251862021056,0.0009922812232280418,-0.0012872636462551044
2023-02-14 00:00:00,0.0032421231945323832,-0.00046018865353481106,-0.0025014104919991193,-0.0013789479836400073,-0.010739936310121235,0.004513777442546324,-0.0012321253878865097,0.0001004460239141481,0.0022482047005431393,0.0017327904640656348,0.0015181495511430738,-0.0010313273093598937,-0.0012206507196224987,60.317159656502795,0.002784493797231829,0.009384430852014533
2023-02-15 00:00:00,-0.013864431505416247,0.0032421231945323832,-0.02026494250497327,0.005305355502908247,0.003400062665712051,0.004817517874632231,0.0016152700015044804,0.001439308403261484,0.002745163947537761,0.0022359013742212176,0.001949142961990401,-0.0008272211614218695,-0.001141964807982373,62.69192232306248,0.001950708329364089,0.0006046404169092797
2023-02-16 00:00:00,-0.0025014104919991193,-0.013864431505416247,-0.0013789479836400073,-0.010739936310121235,-0.0037029087441925327,-0.0036941656548062246,0.0005838048033510234,-0.002397562178616631,-0.0055596337789392426,-0.003130876252324604,-0.002004250654861261,-0.002022507361621065,-0.0013180733187101114,48.45862064596056,0.00021722774456300152,0.0032602003777525953
2023-02-17 00:00:00,-0.02026494250497327,-0.0025014104919991193,0.005305355502908247,0.003400062665712051,-0.003843215077346768,-0.004374572934294327,-0.0003826576747037339,-0.0011842131414132808,-0.004030522135469181,-0.002921054332216109,-0.0021285406141457255,-0.002029484818124241,-0.0014603556185929373,46.288705515775845,-0.003811388401909087,-0.009629305463250866
2023-02-21 00:00:00,-0.0013789479836400073,-0.02026494250497327,-0.010739936310121235,-0.0037029087441925327,0.0077472063308507665,-0.01221026150079621,-0.006769769992278211,-0.0028353327114596103,-0.012147732320221226,-0.008702350389801829,-0.0066626410868526114,-0.0034288573469822264,-0.0018540559642707952,32.73945818042148,-0.0033856253402828663,-0.009081080199610365
2023-02-22 00:00:00,0.005305355502908247,-0.0013789479836400073,0.003400062665712051,-0.003843215077346768,0.015910411610818208,-0.008048433660204132,-0.006953521858299251,-0.00336531126601885,-0.006763340151930617,-0.006261216254414555,-0.00534171781104946,-0.002979581476471359,-0.002079161066710908,32.01169199706524,-0.006530092299908046,-0.017307931691748095
2023-02-23 00:00:00,-0.010739936310121235,0.005305355502908247,-0.0037029087441925327,0.0077472063308507665,0.0006927971302395135,-0.005446178328568342,-0.006540875396624078,-0.004274634634588975,-0.0007289923245111852,-0.0024056923353069555,-0.0026799494825600336,-0.0020604085764151622,-0.002075410568651759,38.12918930767568,-0.006862266104222163,-0.012277974494513013
2023-02-24 00:00:00,0.003400062665712051,-0.010739936310121235,-0.003843215077346768,0.015910411610818208,-0.015447669846667325,-0.002271176263617665,-0.0059159763575650755,-0.005743170014101321,-0.00573446431731621,-0.005183773660245049,-0.004694946189450334,-0.0025967447272519447,-0.0021796774003717966,31.522085976709604,-0.005638185706060669,0.00454258940323788
2023-02-27 00:00:00,-0.0037029087441925327,0.003400062665712051,0.0077472063308507665,0.0006927971302395135,0.0016308374470778723,-0.0006781727138336456,-0.004735681726022842,-0.005720607232504226,-0.0011672008258020792,-0.002322494884926016,-0.0026711939756597376,-0.0018593814544535844,-0.0021156182111881543,35.58447481570492,-0.006552839270575664,-0.006056481318412799
2023-02-28 00:00:00,-0.003843215077346768,-0.0037029087441925327,0.015910411610818208,-0.015447669846667325,-0.018622121166720757,-0.0036809274628672385,-0.0014232749738666939,-0.00426896112375798,-0.0024350547849973057,-0.002782632838014855,-0.0029291226677929365,-0.0018271044562768461,-0.002057915460205893,33.11611418693526,-0.005308954097565445,-0.0015343031115238916
2023-03-01 00:00:00,0.0077472063308507665,-0.003843215077346768,0.0006927971302395135,0.0016308374470778723,-0.014534594493539221,-0.00138202038527575,-0.001916128392608046,-0.0044606474930933586,-0.003139134931172037,-0.003136160251125493,-0.0031576457701813945,-0.0017921870346375534,-0.002004769775092225,30.584968871644136,-0.004539478340495404,0.0022166762670650783
2023-03-02 00:00:00,0.015910411610818208,0.0077472063308507665,-0.015447669846667325,-0.018622121166720757,-0.0014263210562583473,6.70275031038218e-05,-0.001427758227019542,-0.00045891194511849643,0.0023040356998393647,0.0004916286095332599,-0.00043143274492335427,-0.0008198142753244857,-0.0017677786751386774,41.08007414013343,-0.006149055173799595,-0.0017493889643702331
2023-03-03 00:00:00,0.0006927971302395135,0.015910411610818208,0.0016308374470778723,-0.014534594493539221,0.0163948484694246,0.006604800954774069,0.0039023113571683464,0.0020109965683755343,0.009107223655328785,0.005631222943294908,0.0036540283440120364,0.0006025547097224657,-0.001293711998166449,56.75734620993113,-0.0032600268371157006,0.0043437283891788895
