date,Ret,Ret_5,Ret_10,Ret_15,Ret_20,Ret_25,Ret_30,Ret_40,Ret_50,OT
2024-02-20 00:00:00,0.009767068832988945,0.006667885053477374,0.09448350362857783,0.225656531007995,0.22784584044229472,0.25032967872659806,0.25848807053137257,0.12759261346624928,0.18379065692730867,0.24921628267257012
2024-02-21 00:00:00,-0.008524364120598982,-0.006154566475339074,0.07341010768776446,0.20319309470196578,0.2034416459803119,0.23074815719278607,0.3121395673235787,0.20969305525563264,0.15305875974434446,0.31928447580143815
2024-02-22 00:00:00,-0.010305082651198116,-0.006929978215942323,0.026957524275165845,0.15764959831968106,0.18800397627261534,0.22051261988537996,0.28759602139550355,0.19752845869443325,0.1973665557706339,0.31660909757392086
2024-02-23 00:00:00,-0.011168964874795462,-0.026679388088708067,0.019892626588603024,0.11987185528646083,0.1800254515348696,0.1719566810094144,0.2658596019720205,0.2137913212761493,0.14830328044236718,0.22039019574311336
2024-02-24 00:00:00,0.016540904827679226,-0.004017891192166001,-0.004931700708656894,0.09383171041028993,0.21105597750453442,0.20065119006521348,0.2914145526948646,0.213096054566986,0.16775268717434977,0.3168939545084979
2024-02-25 00:00:00,0.003143945229742817,-0.010550598404414302,-0.003953063528342904,0.0829360477215364,0.21272512116758224,0.21489133207725764,0.23713795241323332,0.19877890949997945,0.17604420616781424,0.26594415507015445
2024-02-26 00:00:00,0.053914352844811164,0.05176051535585935,0.04528738534796495,0.12897036804987172,0.26547098935635094,0.26573240577695656,0.2944523160823591,0.2755970758497508,0.24075008936005937,0.16977167140657135
2024-02-27 00:00:00,0.04700762695380023,0.11266741093947008,0.10495665002007071,0.14266216968005696,0.2880789813374771,0.32185330846504656,0.3580246167868153,0.3834833510317581,0.21534508566671118,0.12221751208014586
2024-02-28 00:00:00,0.09493531994124749,0.23205967886207057,0.1991890805412604,0.25656858198854815,0.3797489583909084,0.4538617788671213,0.44392057204471724,0.5018544604287916,0.3546847462586262,0.07566432722092675
2024-02-29 00:00:00,-0.020900898468654838,0.1866797675115106,0.18191181732570438,0.18082741806112534,0.29802795980640084,0.4371356258285062,0.4247884750890061,0.46879928448144126,0.3124876693420826,0.1431480585743623
2024-03-01 00:00:00,0.020298739001094468,0.20697321271556168,0.19423892306331414,0.20220197092868908,0.30707480068395565,0.46372673563650557,0.46634129417757597,0.5029354380394144,0.34661498836008153,0.12087006144961943
2024-03-02 00:00:00,-0.006578811548619723,0.13769469043508842,0.19658235392963364,0.18921790828915608,0.2844235933888868,0.4397196254903588,0.4400170375640744,0.5700830521522589,0.44749736359011516,0.1197084367335508
2024-03-03 00:00:00,0.01833832389535761,0.10654218205942234,0.2312134248073694,0.2226811425942785,0.26440389059452407,0.4253137266740499,0.4626864443113794,0.5853055072707007,0.4744131149334634,0.11996038302755574
2024-03-04 00:00:00,0.08173591649219114,0.0932028583309803,0.3468911625663653,0.3109569305270061,0.3736843655187876,0.5083455050921339,0.5893658522757008,0.7049751109458913,0.6348448038265975,0.022865572877560858
2024-03-05 00:00:00,-0.06628402455760396,0.04253080370153772,0.23715021176012918,0.23217947682091178,0.2310489571840766,0.35323413216403443,0.498258159023105,0.5976737873365643,0.5007820407929238,0.09159867745922434
2024-03-06 00:00:00,0.03613733749494208,0.058714521456068036,0.2778400673104491,0.2643580899351867,0.2727886843453089,0.38381907211339983,0.5496687504618556,0.5808644443840372,0.5318477224058005,0.07906665243779853
2024-03-07 00:00:00,0.012384196927533564,0.07892388751105894,0.22748597820491656,0.29102128502889424,0.2830756087091062,0.3857952965900613,0.5533478952600239,0.5889220674459743,0.5657775244447625,0.04148889004585565
2024-03-08 00:00:00,0.020539401213709896,0.08125591689785949,0.19645528164881898,0.331256800537046,0.322031219909499,0.36714418805400295,0.541128900402055,0.6248157253636986,0.6552759624151538,-0.0417733115300446
2024-03-09 00:00:00,0.0029105240064184468,0.002465501670250392,0.09589815180411798,0.35021192497731835,0.314189097028847,0.3770711866163712,0.5120643334542534,0.5823898862557506,0.6458795274626836,-0.036760750089788186
2024-03-10 00:00:00,0.007604594828588107,0.08179454160191324,0.1278041328961792,0.3383423462237587,0.3329650322987634,0.33174204232646143,0.46392129768445445,0.6068823307082261,0.6565179034331203,-0.007402881397352901
2024-03-11 00:00:00,0.04497430707429584,0.09102091064519047,0.15507968131228655,0.3941502338959577,0.37944111466270125,0.38863906945331284,0.509775544225344,0.6937410347736803,0.7360101868035087,-0.05942919411689518
2024-03-12 00:00:00,-0.008909905479502545,0.06807279364573149,0.15236925066504958,0.31104437790228867,0.3789047105569132,0.37041814985263244,0.4801302538500618,0.6594313545226171,0.8093154302905925,-0.03616582355194564
2024-03-13 00:00:00,0.022414410239567806,0.0700351344686112,0.15698182043278242,0.28024918818477396,0.4244915495749111,0.414619854167563,0.4628923151023452,0.6923016250617335,0.8341696517441712,-0.050913616787647054
2024-03-14 00:00:00,-0.0230819028918976,0.04230303938579283,0.04487283927030572,0.14225797448270527,0.40732999321880103,0.369783290160838,0.43532548326084397,0.6606852107065808,0.7814821850592379,0.003288190831933102
2024-03-15 00:00:00,-0.027911980219644583,0.005563395371322999,0.08781299234738382,0.13407855318889284,0.3457880738379855,0.3403808437895899,0.3391510498405368,0.6298246912758063,0.7379703033975655,-0.00381474665406234
2024-03-16 00:00:00,-0.05891115205258901,-0.09440405292107978,-0.011975885141362719,0.04603547794961749,0.262536801435308,0.24921628267257012,0.2575459132523632,0.5311100954991654,0.5619321933740298,0.08072810479484382
